,address,coordinates
0,"850 W Central Texas Exp*, Harker Heights, TX 76548, USA","31.07260368,-97.68292543"
1,"300 1st Capitol Dr, St Charles, MO 63301, USA","38.78047561,-90.48349744"
2,"5115 N Biltmore Ln, Madison, WI 53718, USA","43.15303898,-89.29670252"
3,"1200 N 1 Mile Rd, Dexter, MO 63841, USA","36.80747959,-89.96832374"
4,"100 Hospital Dr, Bennington, VT 05201, USA","42.87418238,-73.20767064"
5,"186 Hospital Drive, Grantsville, WV 26147, USA","38.92276007,-81.09249296"
6,"257 W St George Ave, Grantsburg, WI 54840, USA","45.77495986,-92.68689511"
7,"8001 5th St, Bowdle, SD 57428, USA","45.44797849,-99.66162744"
8,"2805 NE 129th St, Vancouver, WA 98686, USA","45.71388861,-122.6406996"
9,"4321 N Mac Dill Ave STE 407, Tampa, FL 33607, USA","27.98023088,-82.49220872"
10,"3021 W Horizon Ridge Pkwy #10, Henderson, NV 89052, USA","35.99630422,-115.1203312"
11,"2051-B Hamill Rd, Hixson, TN 37343, USA","35.12468548,-85.23808028"
12,"55 Basin Creek Rd, Butte, MT 59701, USA","45.933282,-112.510929"
13,"2420 G St, Belleville, KS 66935, USA","39.8176728,-97.637378"
14,"1690 Skylyn Dr, Spartanburg, SC 29307, USA","34.97840817,-81.89551953"
15,"1260 University Ave, Sewanee, TN 37375, USA","35.2081067,-85.913832"
16,"195 Hospital Loop Suite 3, Berlin, VT 05602, USA","44.22066422,-72.56082561"
17,"615 Clinic Dr, Longview, TX 75605, USA","32.53733451,-94.73455975"
18,"12502 USF Pine Drive, Tampa, FL 33612, USA","28.06156052,-82.42284161"
19,"625 S 4th St, Le Sueur, MN 56058, USA","44.45408513,-93.91525319"
20,"6720 Bertner Ave Suite 8A, Houston, TX 77030, USA","29.70773116,-95.40044497"
21,"1830 Franklin St Ste 330, Denver, CO 80218, USA","39.74525179,-104.968043"
22,"2501 Jimmy Johnson Blvd, Port Arthur, TX 77640, USA","29.93550203,-93.98953453"
23,"909 Iowa Ave, Dell Rapids, SD 57022, USA","43.82858454,-96.71580998"
24,"22 Bramhall St, Portland, ME 04102, USA","43.6530936,-70.2763087"
25,"9 Hope Ave, Waltham, MA 02453, USA","42.369124,-71.249607"
26,"7808 Clodus Fields Dr, Dallas, TX 75251, USA","32.91280443,-96.77126529"
27,"2700 E Broad St, Mansfield, TX 76063, USA","32.56798994,-97.09444484"
28,"131 Commonwealth Dr Suite 240, Greenville, SC 29615, USA","34.85128582,-82.32254918"
29,"1200 Reba McEntire Ln, Denison, TX 75020, USA","33.77021768,-96.55128107"
30,"1001 N Cooper St, Arlington, TX 76011, USA","32.75085193,-97.11322999"
31,"CGH4+XCG, Manatí, 00674, Puerto Rico","18.42993074,-66.4938181"
32,"510 E 8th St, Freeman, SD 57029, USA","43.34796637,-97.4310807"
33,"817 East St, Iola, KS 66749, USA","37.92140928,-95.39432263"
34,"4845 Alameda Ave El Paso Children's Hospital, El Paso, TX 79905, USA","31.7715012,-106.433795"
35,"3JJP+JR Temple, TX, USA","31.08159961,-97.36289358"
36,"4400 Clayton Ave, St. Louis, MO 63110, USA","38.63222218,-90.25813953"
37,"1337 Sam Houston Blvd, Houston, MO 65483, USA","37.31612169,-91.96116854"
38,"1300 W 6th St Suite 100, San Pedro, CA 90732, USA","33.73901823,-118.3062738"
39,"1700 13th St, Everett, WA 98201, USA","47.99989375,-122.2057095"
40,"2700 E Phillips Rd, Greer, SC 29650, USA","34.86485712,-82.22915798"
41,"3500 Tower Ave, Superior, WI 54880, USA","46.69757315,-92.10263211"
42,"701 Cashua Ferry Rd, Darlington, SC 29532, USA","34.3133305,-79.83980295"
43,"810 State Hwy 71, Marble Falls, TX 78654, USA","30.51281125,-98.30453796"
44,"1636 Hunters Glen Rd, San Angelo, TX 76901, USA","31.44727436,-100.510233"
45,"22 Bermuda Ln, Longview, TX 75605, USA","32.56443086,-94.76403545"
46,"806 Cupples Rd, San Antonio, TX 78237, USA","29.4030255,-98.5482246"
47,"3801 Miranda Ave, Palo Alto, CA 94304, USA","37.40535302,-122.1397847"
48,"2817 New Pinery Rd # 202, Portage, WI 53901, USA","43.56694999,-89.4665106"
49,"990 Wisacky Hwy, Bishopville, SC 29010, USA","34.19890124,-80.22597393"
50,"17 N Miles Ave, Hardin, MT 59034, USA","45.72891672,-107.6165327"
51,"7100 SW 9th Ave, Amarillo, TX 79106, USA","35.20661691,-101.9186902"
52,"1941 Virginia Ave, Connersville, IN 47331, USA","39.65623818,-85.132661"
53,"PPRP+8W Terrell, TX, USA","32.74075986,-96.26274185"
54,"1041 45th St, West Palm Beach, FL 33407, USA","26.75395811,-80.06746906"
55,"971 Lakeland Dr # 1052, Jackson, MS 39216, USA","32.33256579,-90.16485667"
56,"550 Willow Rd, Menlo Park, CA 94025, USA","37.4616441,-122.1591834"
57,"1751 Gunbarrel Rd # 200, Chattanooga, TN 37421, USA","35.02255862,-85.16062411"
58,"915 4th St NW, Choteau, MT 59422, USA","47.81409763,-112.1927115"
59,"2090 Wallum Lake Rd, Pascoag, RI 02859, USA","41.99725365,-71.76246104"
60,"477 W Seed Farm Rd, Sacaton, AZ 85147, USA","33.07299895,-111.75906"
61,"1065 E Broad St, Monticello, MS 39654, USA","31.55407036,-90.0998427"
62,"1602 Rock Prairie Rd #300, College Station, TX 77845, USA","30.58132381,-96.28999015"
63,"2401 S 31st St, Temple, TX 76508, USA","31.07744745,-97.36344799"
64,"4039 Highland St, Milan, TN 38358, USA","35.91228641,-88.75414132"
65,"616 W Forest Ave, Jackson, TN 38301, USA","35.63487668,-88.82842037"
66,"1005 Dr DB Todd Jr Blvd # 2, Nashville, TN 37208, USA","36.16690697,-86.80656112"
67,"2178 Johnson Ave, San Luis Obispo, CA 93401, USA","35.27566032,-120.6467907"
68,"1102 Constitution Ave, Meridian, MS 39301, USA","32.36806826,-88.69906394"
69,"2304 State Hwy 121, Bedford, TX 76021, USA","32.84533965,-97.1132574"
70,"110 Shult Dr, Columbus, TX 78934, USA","29.69451784,-96.5433111"
71,"135 S Gibson St, Medford, WI 54451, USA","45.13511577,-90.35607112"
72,"555 Willard Ave, Newington, CT 06111, USA","41.70168559,-72.74061649"
73,"9150 Huebner Rd, San Antonio, TX 78240, USA","29.52688039,-98.59497177"
74,"4102 Woolworth Ave, Omaha, NE 68105, USA","41.2460658,-95.97440516"
75,"1401 E 8th St, Weslaco, TX 78596, USA","26.1532284,-97.97761937"
76,"79-25 Winchester Blvd, Queens, NY 11427, USA","40.74113951,-73.7315253"
77,"620 S Main St Ste 240, Keller, TX 76248, USA","32.92816374,-97.2547307"
78,"845 Main Rd, Irving, NY 14081, USA","42.55848862,-79.12583875"
79,"1611 TX-576 Spur, Rankin, TX 79778, USA","31.23288787,-101.9353661"
80,"1121 NE 2nd Ave, Portland, OR 97232, USA","45.53170667,-122.6640591"
81,"2831 E President George Bush Hwy, Richardson, TX 75082, USA","32.99608156,-96.66649032"
82,"3131 Queen City Ave, Cincinnati, OH 45238, USA","39.13495616,-84.60736474"
83,"10012 Kennerly Rd, St. Louis, MO 63128, USA","38.5063922,-90.38067"
84,"3550 MS-468, Pearl, MS 39208, USA","32.24565481,-90.06618747"
85,"5664 SW 60th Ave, Ocala, FL 34474, USA","29.13106583,-82.21902089"
86,"605 Holderrieth Blvd, Tomball, TX 77375, USA","30.08730408,-95.62369558"
87,"5877 GA-21, Rincon, GA 31326, USA","32.25822576,-81.21737345"
88,"303 Medical Center Dr, Batesville, MS 38606, USA","34.30629814,-89.91460188"
89,"3100 Peters Colony Rd, Flower Mound, TX 75022, USA","33.03536409,-97.07726192"
90,"402 W Lake St, Friendship, WI 53934, USA","43.9745537,-89.8213496"
91,"100 Barnet Segal Ln, Monterey, CA 93940, USA","36.58118299,-121.8859061"
92,"901 W Hamilton St, Olney, TX 76374, USA","33.36936482,-98.76430459"
93,"4400 Hickory Shores Blvd, Gulf Breeze, FL 32563, USA","30.39777632,-87.03943309"
94,"2000 Eoff St, Wheeling, WV 26003, USA","40.06007458,-80.72168064"
95,"5656 Kelley St, Houston, TX 77026, USA","29.81193328,-95.3118817"
96,"1515 Holcombe Blvd # 423, Houston, TX 77030, USA","29.70703136,-95.39707717"
97,"2634 Breslauer Way, Redding, CA 96001, USA","40.55013511,-122.3804882"
98,"200 Calle Hernandez Carrion Ste 4407 Manati PR, Manatí, 00674, Puerto Rico","18.43455435,-66.4824951"
99,"1901 S Shady St, Mountain City, TN 37683, USA","36.45355595,-81.79768063"
